"_ano_pesquisa","cargo_atual","nivel","genero","cor_raca_etnia","pcd","qtd_respondentes"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","Feminino","Parda","Não","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Feminino","Branca","Sim","1"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Júnior","Feminino","Parda","Não","1"
"2023","Analista de Negócios/Business Analyst","Sênior","Feminino","Prefiro não informar","Não","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Feminino","Prefiro não informar","Não","1"
"2023",,,"Outro","Branca","Prefiro não informar","1"
"2023","Analytics Engineer","Pleno","Feminino","Branca","Sim","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Masculino","Prefiro não informar","Prefiro não informar","1"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","Preta","Sim","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Masculino","Prefiro não informar","Não","1"
"2023","Economista","Pleno","Masculino","Branca","Não","1"
"2023","Outra Opção","Pleno","Feminino","Amarela","Não","1"
"2023","DBA/Administrador de Banco de Dados","Júnior","Feminino","Branca","Não","1"
"2023","Analytics Engineer","Pleno","Outro","Parda","Não","1"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Júnior","Feminino","Branca","Não","1"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","Amarela","Não","1"
"2023",,,"Outro","Branca","Não","1"
"2023","Analista de Dados/Data Analyst","Sênior","Masculino","Outra","Não","1"
"2023","Cientista de Dados/Data Scientist","Júnior","Feminino","Preta","Não","1"
"2023","Cientista de Dados/Data Scientist","Júnior","Feminino","Branca","Sim","1"
"2023","Professor/Pesquisador","Júnior","Feminino","Parda","Não","1"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","Amarela","Não","1"
"2023","Analista de Dados/Data Analyst","Pleno","Masculino","Branca","Prefiro não informar","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Feminino","Parda","Sim","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","Feminino","Prefiro não informar","Não","1"
"2023","Economista","Pleno","Feminino","Branca","Não","1"
"2023","Economista","Sênior","Masculino","Parda","Não","1"
"2023","Analytics Engineer","Sênior","Feminino","Branca","Sim","1"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","Feminino","Parda","Não","1"
"2023","Estatístico","Pleno","Prefiro não informar","Branca","Não","1"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","Indígena","Não","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","Feminino","Parda","Não","1"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Júnior","Masculino","Parda","Não","1"
"2023","Analytics Engineer","Júnior","Masculino","Preta","Não","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","Masculino","Preta","Não","1"
"2023","Analista de Suporte/Analista Técnico","Júnior","Masculino","Amarela","Não","1"
"2023","Analista de Negócios/Business Analyst","Sênior","Feminino","Branca","Prefiro não informar","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Masculino","Branca","Prefiro não informar","1"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Júnior","Masculino","Preta","Não","1"
"2023","Cientista de Dados/Data Scientist","Júnior","Feminino","Prefiro não informar","Não","1"
"2023","Cientista de Dados/Data Scientist","Pleno","Masculino","Branca","Prefiro não informar","1"
"2023","Professor/Pesquisador","Sênior","Masculino","Amarela","Não","1"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","Parda","Sim","1"
"2023","Outra Opção","Pleno","Masculino","Preta","Não","1"
"2023","Professor/Pesquisador","Pleno","Feminino","Branca","Não","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Prefiro não informar","Prefiro não informar","Não","1"
"2023","Analista de Dados/Data Analyst","Júnior","Prefiro não informar","Amarela","Não","1"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","Prefiro não informar","Não","1"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","Feminino","Preta","Não","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","Masculino","Parda","Sim","1"
"2023","Analista de Negócios/Business Analyst","Sênior","Feminino","Outra","Não","1"
"2023","Outra Opção","Sênior","Feminino","Preta","Não","1"
"2023","Cientista de Dados/Data Scientist","Pleno","Feminino","Branca","Sim","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","Feminino","Preta","Não","1"
"2023","Analista de Negócios/Business Analyst","Pleno","Masculino","Parda","Sim","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Feminino","Parda","Sim","1"
"2023","Analytics Engineer","Sênior","Feminino","Preta","Não","1"
"2023","Outras Engenharias (não inclui dev)","Sênior","Feminino","Branca","Não","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Masculino","Branca","Sim","1"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","Outro","Branca","Não","1"
"2023","Outras Engenharias (não inclui dev)","Júnior","Masculino","Branca","Sim","1"
"2023","Analista de Negócios/Business Analyst","Júnior","Masculino","Preta","Não","1"
